opt_type,moneyness,sigma_actual_percent,sigma_expected_percent
0,0.701176,129.199219,129.186313
1,1.135238,129.199219,45.145932
1,1.324444,104.772949,104.763907
0,0.745000,104.772949,80.282793
1,1.036522,24.420166,24.409080
0,0.882963,24.420166,44.835460
0,0.916923,77.142334,77.127692
1,1.036522,77.142334,32.800114
0,1.036522,18.989563,18.964789
0,0.769032,18.989563,312.382746
0,0.507234,215.469360,215.454310
1,0.882963,215.469360,0.100000
1,0.769032,0.025940,0.100000
0,0.529778,0.025940,113.506785
0,0.662222,123.255920,123.263653
0,0.627368,123.255920,134.523922
1,0.953600,40.913391,40.928705
0,0.681143,40.913391,500.000000
0,1.036522,0.001526,0.100000
1,0.851429,0.001526,0.100000
0,0.953600,30.152893,30.126557
0,0.953600,30.152893,35.549490
1,0.953600,24.452209,24.459120
0,0.701176,24.452209,122.929988
1,0.993333,21.252441,21.253584
0,0.794667,21.252441,469.946176
0,0.769032,60.034180,59.992050
0,0.611282,60.034180,31.939764
1,0.851429,86.494446,86.495184
0,0.993333,86.494446,35.718665
0,0.769032,355.413818,423.857902
0,0.993333,355.413818,31.608792
0,0.822069,82.551575,82.544789
1,1.324444,82.551575,82.618576
0,0.882963,60.708618,60.693525
0,1.083636,60.708618,33.491910
0,0.476800,36.981201,36.976036
0,0.882963,36.981201,58.918179
0,0.953600,0.001526,0.100000
0,0.745000,0.001526,82.923772
0,0.851429,38.888550,38.889025
1,0.822069,38.888550,0.100000
0,1.135238,0.004578,0.100000
0,1.036522,0.004578,153.853749
0,0.916923,43.286133,43.252046
1,0.916923,43.286133,0.100000
0,1.192000,499.998474,500.000000
0,0.662222,499.998474,47.542325
0,0.496667,69.302368,69.281672
0,0.507234,69.302368,269.717245
0,1.036522,56.495667,56.470337
0,1.036522,56.495667,36.783598
1,0.681143,314.143372,314.146509
0,0.458462,314.143372,76.289047
0,0.745000,226.084900,226.046483
1,0.993333,226.084900,35.127148
0,0.882963,38.746643,38.746888
1,1.192000,38.746643,170.231478
1,1.135238,192.483521,228.146371
1,1.702857,192.483521,113.989523
0,0.722424,96.762085,96.755742
1,0.882963,96.762085,35.126864
1,1.083636,37.147522,37.150667
0,0.916923,37.147522,69.353140
1,1.036522,64.520264,76.857524
0,0.851429,64.520264,48.385270
0,0.916923,66.992188,66.979954
1,1.192000,66.992188,304.380686
0,0.993333,36.613464,36.593451
1,1.135238,36.613464,43.304805
0,0.507234,145.828247,145.774188
0,0.722424,145.828247,78.694316
0,0.596000,97.640991,97.605707
0,1.083636,97.640991,30.144107
1,0.644324,0.001526,0.100000
0,0.476800,0.001526,162.335866
0,0.882963,185.694885,220.648410
0,0.916923,185.694885,30.279174
0,0.541818,499.998474,500.000000
0,0.662222,499.998474,67.183310
0,0.953600,65.190125,65.183110
1,0.953600,65.190125,19.789411
1,0.916923,0.004578,0.100000
0,1.135238,0.004578,117.402363
0,0.953600,97.370911,97.357423
0,0.745000,97.370911,115.732767
0,0.851429,232.569885,275.848039
0,0.794667,232.569885,78.988773
0,0.794667,60.215759,60.194700
0,0.916923,60.215759,30.940081
0,0.681143,228.103638,228.086957
0,1.036522,228.103638,35.669700
0,0.794667,52.398682,52.383790
0,0.993333,52.398682,32.348470
0,1.083636,81.448364,81.420069
1,0.953600,81.448364,134.737776
0,0.916923,52.494812,52.485806
0,0.701176,52.494812,500.000000
0,0.822069,396.308899,470.800833
1,0.822069,396.308899,0.100000
0,0.681143,125.236511,125.220041
1,0.851429,125.236511,0.100000
0,1.083636,399.217224,474.455425
1,0.993333,399.217224,43.897652
0,0.822069,53.483582,53.469670
0,0.518261,53.483582,75.822979
0,0.596000,82.197571,82.177324
1,0.882963,82.197571,71.284361
0,0.681143,121.247864,121.235047
0,0.882963,121.247864,35.486000
1,1.402353,39.369202,39.375073
1,0.701176,39.369202,120.916438
0,0.916923,123.733521,148.012297
0,0.627368,123.733521,448.209833
0,0.953600,45.170593,45.151839
0,0.722424,45.170593,95.101929
1,1.083636,89.193726,89.207574
0,0.851429,89.193726,63.633966
1,0.794667,126.922607,126.934749
1,0.993333,126.922607,27.247501
0,0.611282,499.998474,500.000000
1,0.662222,499.998474,0.100000
1,0.794667,0.025940,0.100000
1,1.036522,0.025940,19.703111
0,1.135238,499.998474,500.000000
1,0.794667,499.998474,17.447907
0,0.596000,94.506836,94.490950
0,0.953600,94.506836,52.096206
1,0.916923,16.595459,16.604696
0,0.681143,16.595459,67.579657
1,1.036522,52.006531,52.008405
0,0.701176,52.006531,237.638986
0,0.916923,73.097229,73.086585
0,0.993333,73.097229,68.964604
0,0.993333,58.465576,58.465948
1,0.882963,58.465576,0.100000
0,0.355821,499.998474,404.221953
0,0.882963,499.998474,66.329816
0,0.953600,31.430054,31.442448
0,0.953600,31.430054,87.513727
1,0.953600,141.867065,141.869515
1,1.083636,141.867065,57.562771
0,0.882963,68.168640,68.160850
0,0.745000,68.168640,120.071652
0,0.882963,63.507080,63.498564
1,0.953600,63.507080,30.410482
1,1.083636,128.959656,153.007831
0,0.953600,128.959656,40.550786
1,0.882963,0.025940,0.100000
0,0.507234,0.025940,160.534096
1,1.083636,19.044495,19.018916
0,0.496667,19.044495,79.440247
0,1.324444,499.998474,500.000000
0,0.541818,499.998474,98.180232
0,0.722424,135.583496,135.568295
0,0.662222,135.583496,500.000000
0,0.644324,273.164368,273.141085
1,0.851429,273.164368,70.622041
0,0.882963,38.687134,38.715794
0,0.701176,38.687134,83.452506
0,0.496667,155.723572,155.714723
0,0.993333,155.723572,0.100000
0,0.611282,89.717102,89.696346
0,0.993333,89.717102,11.907626
1,0.916923,0.001526,0.100000
0,0.916923,0.001526,69.857733
1,1.192000,71.900940,71.898580
0,0.993333,71.900940,33.258278
